wikidata,label
Q5249093,"Absolute Deception (Brian Trenchard-Smith, 2013)"
Q339127,"Accidents Happen (Andrew Lancaster, 2009)"
Q2823386,"Acolytes (Jon Hewitt, 2008)"
Q15039372,"Act of Necessity (Ian Munro, 1991)"
Q127600189,The Actress (2005)
Q91663313,"Acute Misfortune (Thomas M. Wright, 2018)"
Q3233052,"Two Mothers (Anne Fontaine, 2013)"
Q255328,"The Adventures of Priscilla, Queen of the Desert (Stephan Elliott, 1994)"
Q121079737,Aftershocks
Q21198114,"Alex & Eve (Peter Andrikidis, 2015)"
Q180363,"Alexandra's Project (Rolf de Heer, 2003)"
Q24278847,"Ali's Wedding (Jeffrey Walker, 2016)"
Q4729070,"All Men Are Liars (Gerard Lee, 1995)"
Q4729104,"All My Friends Are Leaving Brisbane (Louise Alston, 2007)"
Q132636551,"All Night Gaming (Michael Cusack, 2016)"
Q4749060,"Amy (Nadia Tass, 1997)"
Q4762078,"Angel Baby (Michael Rymer, 1995)"
Q65032687,"Angel of Mine (Kim Farrant, 2019)"
Q4763958,"Angst (Daniel Nettheim, 2000)"
Q1144983,"Animal Kingdom (David Michôd, 2010)"
Q60738656,"Animals (Sophie Hyde, 2019)"
Q4778174,"Any Questions for Ben? (Rob Sitch, 2012)"
Q4795619,"Around the Block (Sarah Spillane, 2013)"
Q126077206,Ascendant
Q275180,"Australia (Baz Luhrmann, 2008)"
Q48672667,"Australia Day (Kriv Stenders, 2017)"
Q4824629,"Australian Rules (Paul Goldman, 2002)"
Q4830757,"Aya (Solrun Hoaas, 1990)"
Q16011764,"The Babadook (Jennifer Kent, 2014)"
Q720724,"Babe (Chris Noonan, 1995)"
Q690892,"Babe: Pig in the City (George Miller, 1998)"
Q66712802,"Babyteeth (Shannon Murphy, 2019)"
Q132640010,Back from the Dead (1997)
Q4839322,"Back of Beyond (Michael Robertson, 1995)"
Q127600429,The Backpacker (2009)
Q4839735,"Backsliding (Simon Target, 1992)"
Q20001169,"Backtrack (Michael Petroni, 2015)"
Q20814449,"Backyard Ashes (Mark Grentell, 2014)"
Q39073553,Bad Blood (2017)
Q798641,"Bad Boy Bubby (Rolf de Heer, 1993)"
Q4840227,"Bad Bush (Samuel Genocchio, 2009)"
Q1939403,"Bad Eggs (Tony Martin, 2003)"
Q111493759,"Bad Girl (Fin Edquist, 2016)"
Q970746,"Bait 3D (Kimble Rendall, 2012)"
Q2597292,"Balibo (Robert Connolly, 2009)"
Q2409617,"The Bank (Robert Connolly, 2001)"
Q15039628,"Bathing Franky (Owen Elliott, 2012)"
Q127600153,Beast (2016)
Q2893302,"Beautiful (Dean O'Flaherty, 2009)"
Q4877736,"Beautiful Kate (Rachel Ward, 2009)"
Q4879081,"Bedevil (Tracey Moffatt, 1993)"
Q127600385,Belladonna (2008)
Q127600297,Below (2019)
Q4887177,"Beneath Clouds (Ivan Sen, 2002)"
Q2986009,"Beneath Hill 60 (Jeremy Sims, 2010)"
Q25212771,"Berlin Syndrome (Cate Shortland, 2017)"
Q7717381,"The Bet (Mark Lee, 2006)"
Q4898542,"Better Than Sex (Jonathan Teplitzky, 2000)"
Q28768860,"Better Watch Out (Chris Peckover, 2016)"
Q5476352,"Fovou tous Ellines (John Tatoulis, 2000)"
Q4900000,"Beyond My Reach (Dan Burstall, 1990)"
Q127543656,Big Mamma's Boy (2011)
Q7717807,"The Big Steal (Nadia Tass, 1990)"
Q4906898,"Bigger Than Tina (Neil Foley, 1999)"
Q127600891,"Bilched (Jeremy Cumpston, 2019)"
Q4912057,"Billy's Holiday (Richard Wherrett, 1995)"
Q110982391,"Birthday (James Harkness, 2009)"
Q12102493,"Bitter & Twisted (Christopher Weekes, 2008)"
Q127600273,Bitter Art (2010)
Q3414343,"Black and White (Craig Lahiff, 2002)"
Q4920204,"Black & White & Sex (John Winter, 2011)"
Q1755928,"The Black Balloon (Elissa Down, 2008)"
Q880515,"Black Robe (Bruce Beresford, 1991)"
Q880636,"Black Water (Andrew Traucki/David Nerlich, 2007)"
Q97486327,"Black Water: Abyss (Andrew Traucki, 2020)"
Q4922836,"Blackfellas (James Ricketson, 1993)"
Q2905586,"Blackrock (Steven Vidler, 1997)"
Q15039394,"Blackwater Trail (Ian Barry, 1995)"
Q4924690,"Blame (Michael Henry, 2011)"
Q4926230,"Blessed (Ana Kokkinos, 2009)"
Q4926523,"Blind Company (Alkinos Tsilimidos, 2009)"
Q4926690,"Blinder (Richard Gray, 2013)"
Q804498,"Blinky Bill (Yoram Gross, 1992)"
Q3416461,"Blood Oath (Stephen Wallace, 1990)"
Q48672582,Bloodlands (2017)
Q4927978,"Bloodlust (Jon Hewitt, 1992)"
Q127600809,Bloodshot Heart (2020)
Q98126098,"Bloody Hell (Alister Grierson, 2020)"
Q127599798,Blue Lies (2008)
Q4930799,"Blurred (Evan Clarry, 2002)"
Q1278728,"Body Melt (Philip Brophy, 1993)"
Q4941409,"Bondi Tsunami (Rachael Lucas, 2004)"
Q4224682,"The Book of Revelation (Ana Kokkinos, 2006)"
Q127600674,Book Week (2018)
Q2634003,"Bootmen (Dein Perry, 2000)"
Q132636553,The Bouncer (2006)
Q4951724,"Boxing Day (Kriv Stenders, 2007)"
Q132636554,The Boy Castaways (2013)
Q39659543,"Boy Erased (Joel Edgerton, 2018)"
Q7719728,"The Boys (Rowan Woods, 1998)"
Q1680405,"The Boys Are Back (Scott Hicks, 2009)"
Q27959327,"Boys in the Trees (Nicholas Verso, 2016)"
Q4952040,"BoyTown (Kevin Carlin, 2006)"
Q4956299,"Bran Nue Dae (Rachel Perkins, 2009)"
Q15039809,"Breakaway (Don McLennan, 1990)"
Q47244559,"Breath (Simon Baker, 2017)"
Q4959906,"Breathing Under Water (Susan Murphy Dermody, 1991)"
Q1190988,"Bright Star (Jane Campion, 2009)"
Q4968055,"Brilliant Lies (Richard Franklin, 1996)"
Q27959330,"Broke (Heath Davis, 2016)"
Q4973402,"Broken Highway (Laurie McInnes, 1993)"
Q4973484,"Broken Sun (Brad Haynes, 2008)"
Q54020539,"Brothers' Nest (Clayton Jacobson, 2018)"
Q132636556,Bunny (2014)
Q85749544,"Buoyancy (Rodd Rathjen, 2019)"
Q127600794,Burke & Wills (2007)
Q110504804,Burning Kiss
Q4999868,"Burning Man (Jonathan Teplitzky, 2011)"
Q38463307,The Butterfly Tree (2017)
Q5016137,"Cactus (Jasmine Yuen Carrucan, 2008)"
Q280928,"Candy (Neil Armfield, 2006)"
Q16972185,"Canopy (Aaron Wilson, 2013)"
Q5038998,"Careless Love (John Duigan, 2012)"
Q39074257,"Cargo (Ben Howling/Yolanda Ramke, 2017)"
Q2471493,"The Castle (Rob Sitch, 1997)"
Q7721707,"The Caterpillar Wish (Sandra Sciberras, 2006)"
Q5054430,"Caught Inside (Adam Blaiklock, 2010)"
Q5056580,"Cedar Boys (Serhat Caradee, 2009)"
Q65051759,"Celeste (Ben Hackworth, 2018)"
Q127543868,Cerulean Blue (2018)
Q1648869,"Charlie & Boots (Dean Murphy, 2009)"
Q16736456,"Charlie's Country (Rolf de Heer, 2013)"
Q106390587,Chasing Wonders
Q1977021,"Children of the Revolution (Peter Duncan, 1996)"
Q164663,"The Children of Huang Shi (Roger Spottiswoode, 2008)"
Q127600806,Chocolate Oyster (2019)
Q128855,"Chopper (Andrew Dominik, 2000)"
Q5123285,"City Loop (Belinda Chayko, 2000)"
Q3283639,"Closed for Winter (James Bogle, 2009)"
Q1745723,"Clubland (Cherie Nowlan, 2007)"
Q5141012,"Coffin Rock (Rupert Glasson, 2009)"
Q4655994,"A Cold Summer (Paul Middleditch, 2003)"
Q7726899,"The Combination (David Field, 2009)"
Q127600808,The Combination: Redemption (2019)
Q132636557,The Competition (2014)
Q115676246,"Convict (George Basha, 2014)"
Q132636559,Cooped Up (2016)
Q127543514,Corroboree (2007)
Q5173917,"Cosi (Mark Joffe, 1996)"
Q4158757,"Country Life (film) (Michael Blakemore, 1994)"
Q12110058,"Crackerjack (Paul Moloney, 2002)"
Q5180379,"Crackers (David Swann, 1998)"
Q7727942,"The Craic (Ted Emery, 1999)"
Q5187786,"Crooked Business (Chris Nyst, 2008)"
Q7728163,"The Crop (Scott Patterson, 2004)"
Q7728178,"The Crossing (George Ogilvie, 1990)"
Q5190184,"Crush (John V. Soto, 2009)"
Q127600752,Crushed (2015)
Q5192195,"Cubbyhouse (Murray Fahey, 2001)"
Q922054,"The Cup (Dzongsar Jamyang Khyentse Rinpoche, 1999)"
Q7728406,"The Cup (Simon Wincer, 2011)"
Q7728500,"The Custodian (John Dingwall, 1993)"
Q978522,"Cut (Kimble Rendall, 2000)"
